INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 1, 1, 1, '2016-08-21');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 2, 2, 2, '2012-10-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 3, 3, 3, '2010-03-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 4, 4, 4, '2015-05-11');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 5, 5, 5, '2015-08-21');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 6, 6, 6, '2011-10-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 7, 7, 7, '2010-02-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 8, 8, 8, '2016-05-11');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 9, 9, 9, '2016-08-26');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 10, 10, 10, '2008-10-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 11, 11, 11, '2010-09-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 12, 12, 12, '2016-09-11');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 13, 13, 13, '2016-08-21');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 14, 14, 14, '2009-10-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 15, 15, 15, '2010-03-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 16, 16, 16, '2016-06-11');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 17, 17, 17, '2012-08-21');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 18, 18, 18, '2006-10-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 19, 19, 19, '2010-04-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 20, 20, 20, '2016-04-11');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 21, 21, 21, '2013-08-21');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 22, 22, 22, '2015-07-30');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 23, 23, 23, '2003-03-02');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 24, 24, 24, '2016-07-19');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 25, 25, 25, '2015-12-31');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 26, 26, 26, '2014-02-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 27, 27, 27, '2014-10-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 28, 28, 28, '2016-02-18');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 29, 29, 29, '2016-06-24');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 30, 30, 30, '2007-12-16');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 31, 31, 31, '2016-02-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 32, 32, 32, '2017-11-29');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 33, 33, 33, '2010-08-25');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 34, 34, 34, '2017-08-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 35, 35, 35, '2010-05-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 36, 36, 36, '2012-05-11');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 37, 37, 37, '2016-08-13');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 38, 38, 38, '2015-07-29');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 39, 39, 39, '2013-03-02');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 40, 40, 40, '2016-07-14');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 41, 41, 41, '2017-12-31');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 42, 42, 42, '2017-02-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 43, 43, 43, '2017-10-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 44, 44, 44, '2014-01-18');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 45, 45, 45, '2016-06-25');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 46, 46, 46, '2017-12-16');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 47, 47, 47, '2011-02-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 48, 48, 48, '2011-11-29');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 49, 1, 49, '2015-08-25');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 50, 2, 50, '2012-10-03');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 51, 3, 51, '2010-06-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 52, 4, 52, '2013-05-11');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 53, 5, 53, '2016-01-21');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 54, 6, 54, '2015-07-28');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 55, 7, 55, '2016-03-02');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 56, 8, 56, '2004-07-14');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 57, 9, 57, '2003-12-31');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 58, 10, 58, '2004-07-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 59, 11, 59, '2009-05-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 60, 12, 60, '2004-05-18');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 61, 13, 61, '2004-06-23');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 62, 14, 62, '2009-12-16');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 63, 15, 63, '2004-08-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 64, 16, 64, '2016-11-29');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 65, 17, 65, '2006-07-25');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 66, 18, 66, '2012-11-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 67, 19, 67, '2010-07-07');
